,date,rooms,area_size,floor,price,year,city
152,22/1/2021,5.0,140.0,4.0,1,2021.0,נהריה
153,22/1/2021,3.0,65.0,,600,1970.0,נהריה
154,22/1/2021,5.0,140.0,,1,2021.0,נהריה
155,22/1/2021,3.0,65.0,4.0,600,1970.0,נהריה
156,18/1/2021,4.0,119.0,,1,2020.0,נהריה
157,18/1/2021,4.0,119.0,5.0,1,2020.0,נהריה
158,17/1/2021,5.0,137.0,,1,2015.0,נהריה
159,17/1/2021,5.0,137.0,2.0,1,2015.0,נהריה
160,17/1/2021,3.0,75.0,3.0,625,1960.0,נהריה
161,17/1/2021,3.0,75.0,,625,1960.0,נהריה
162,14/1/2021,4.0,109.0,,1,2019.0,נהריה
163,14/1/2021,4.0,100.0,,1,2021.0,נהריה
164,14/1/2021,5.0,131.0,,961,2020.0,נהריה
165,14/1/2021,5.0,131.0,2.0,961,2020.0,נהריה
166,14/1/2021,4.0,100.0,3.0,1,2021.0,נהריה
167,14/1/2021,4.0,109.0,1.0,1,2019.0,נהריה
168,14/1/2021,5.0,122.0,1.0,1,2020.0,נהריה
169,14/1/2021,5.0,122.0,,1,2020.0,נהריה
170,13/1/2021,3.0,84.0,3.0,751,2020.0,נהריה
171,13/1/2021,3.0,84.0,,751,2020.0,נהריה
172,12/1/2021,5.0,180.0,6.0,1,2020.0,נהריה
173,12/1/2021,5.0,126.0,,1,2020.0,נהריה
174,12/1/2021,3.0,89.0,,755,2020.0,נהריה
175,12/1/2021,5.0,126.0,3.0,1,2020.0,נהריה
176,12/1/2021,3.0,89.0,6.0,755,2020.0,נהריה
177,12/1/2021,5.0,180.0,,1,2020.0,נהריה
178,11/1/2021,5.0,127.0,,1,2020.0,נהריה
179,11/1/2021,5.0,127.0,12.0,1,2020.0,נהריה
180,11/1/2021,4.0,123.0,,1,2020.0,נהריה
181,10/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
182,10/1/2021,3.0,84.0,,750,2020.0,נהריה
